feature,parity,scale_class,conjugate,measured_on
volume.mfi_volume_features@cum_dmfi,odd,scale-carrying,,"FXPIG-Server M5, 6 symbols (BTCUSDT.r, EURUSD.r, GBPUSD.r, US500.r, USDJPY.r, XAUUSD.r), 20000 bars/symbol, 2026-09-04; generic binder params (period=20) except metastore-tuned entries"
volume.mfi_volume_features@cum_dmfi_mean,odd,scale-carrying,,"FXPIG-Server M5, 6 symbols (BTCUSDT.r, EURUSD.r, GBPUSD.r, US500.r, USDJPY.r, XAUUSD.r), 20000 bars/symbol, 2026-09-04; generic binder params (period=20) except metastore-tuned entries"
volume.mfi_volume_features@cum_dmfi_z,odd,scale-free,,"FXPIG-Server M5, 6 symbols (BTCUSDT.r, EURUSD.r, GBPUSD.r, US500.r, USDJPY.r, XAUUSD.r), 20000 bars/symbol, 2026-09-04; generic binder params (period=20) except metastore-tuned entries"
volume.mfi_volume_features@delta_mid,odd,scale-carrying,,"FXPIG-Server M5, 6 symbols (BTCUSDT.r, EURUSD.r, GBPUSD.r, US500.r, USDJPY.r, XAUUSD.r), 20000 bars/symbol, 2026-09-04; generic binder params (period=20) except metastore-tuned entries"
volume.mfi_volume_features@dfp,odd,scale-carrying,,"FXPIG-Server M5, 6 symbols (BTCUSDT.r, EURUSD.r, GBPUSD.r, US500.r, USDJPY.r, XAUUSD.r), 20000 bars/symbol, 2026-09-04; generic binder params (period=20) except metastore-tuned entries"
volume.mfi_volume_features@dfp_norm,odd,scale-free,,"FXPIG-Server M5, 6 symbols (BTCUSDT.r, EURUSD.r, GBPUSD.r, US500.r, USDJPY.r, XAUUSD.r), 20000 bars/symbol, 2026-09-04; generic binder params (period=20) except metastore-tuned entries"
volume.mfi_volume_features@dir_eff_ratio,even,scale-free,,"FXPIG-Server M5, 6 symbols (BTCUSDT.r, EURUSD.r, GBPUSD.r, US500.r, USDJPY.r, XAUUSD.r), 20000 bars/symbol, 2026-09-04; generic binder params (period=20) except metastore-tuned entries"
volume.mfi_volume_features@dmfi,odd,scale-carrying,,"FXPIG-Server M5, 6 symbols (BTCUSDT.r, EURUSD.r, GBPUSD.r, US500.r, USDJPY.r, XAUUSD.r), 20000 bars/symbol, 2026-09-04; generic binder params (period=20) except metastore-tuned entries"
volume.mfi_volume_features@dominance_ratio,odd,scale-free,,"FXPIG-Server M5, 6 symbols (BTCUSDT.r, EURUSD.r, GBPUSD.r, US500.r, USDJPY.r, XAUUSD.r), 20000 bars/symbol, 2026-09-04; generic binder params (period=20) except metastore-tuned entries"
volume.mfi_volume_features@eom,odd,scale-carrying,,"FXPIG-Server M5, 6 symbols (BTCUSDT.r, EURUSD.r, GBPUSD.r, US500.r, USDJPY.r, XAUUSD.r), 20000 bars/symbol, 2026-09-04; generic binder params (period=20) except metastore-tuned entries"
volume.mfi_volume_features@flow_momentum_bsdi,odd,scale-carrying,,"FXPIG-Server M5, 6 symbols (BTCUSDT.r, EURUSD.r, GBPUSD.r, US500.r, USDJPY.r, XAUUSD.r), 20000 bars/symbol, 2026-09-04; generic binder params (period=20) except metastore-tuned entries"
volume.mfi_volume_features@flow_momentum_dfp,odd,scale-carrying,,"FXPIG-Server M5, 6 symbols (BTCUSDT.r, EURUSD.r, GBPUSD.r, US500.r, USDJPY.r, XAUUSD.r), 20000 bars/symbol, 2026-09-04; generic binder params (period=20) except metastore-tuned entries"
volume.mfi_volume_features@mfi_classic,even,scale-carrying,,"FXPIG-Server M5, 6 symbols (BTCUSDT.r, EURUSD.r, GBPUSD.r, US500.r, USDJPY.r, XAUUSD.r), 20000 bars/symbol, 2026-09-04; generic binder params (period=20) except metastore-tuned entries"
volume.mfi_volume_features@mfi_classic_log,even,scale-free,,"FXPIG-Server M5, 6 symbols (BTCUSDT.r, EURUSD.r, GBPUSD.r, US500.r, USDJPY.r, XAUUSD.r), 20000 bars/symbol, 2026-09-04; generic binder params (period=20) except metastore-tuned entries"
volume.mfi_volume_features@mfi_delta,even,scale-free,,"FXPIG-Server M5, 6 symbols (BTCUSDT.r, EURUSD.r, GBPUSD.r, US500.r, USDJPY.r, XAUUSD.r), 20000 bars/symbol, 2026-09-04; generic binder params (period=20) except metastore-tuned entries"
volume.mfi_volume_features@mfi_log,even,scale-free,,"FXPIG-Server M5, 6 symbols (BTCUSDT.r, EURUSD.r, GBPUSD.r, US500.r, USDJPY.r, XAUUSD.r), 20000 bars/symbol, 2026-09-04; generic binder params (period=20) except metastore-tuned entries"
volume.mfi_volume_features@mfi_logchg,even,scale-free,,"FXPIG-Server M5, 6 symbols (BTCUSDT.r, EURUSD.r, GBPUSD.r, US500.r, USDJPY.r, XAUUSD.r), 20000 bars/symbol, 2026-09-04; generic binder params (period=20) except metastore-tuned entries"
volume.mfi_volume_features@mfi_norm,even,scale-free,,"FXPIG-Server M5, 6 symbols (BTCUSDT.r, EURUSD.r, GBPUSD.r, US500.r, USDJPY.r, XAUUSD.r), 20000 bars/symbol, 2026-09-04; generic binder params (period=20) except metastore-tuned entries"
volume.mfi_volume_features@mfi_rangeadj,even,scale-carrying,,"FXPIG-Server M5, 6 symbols (BTCUSDT.r, EURUSD.r, GBPUSD.r, US500.r, USDJPY.r, XAUUSD.r), 20000 bars/symbol, 2026-09-04; generic binder params (period=20) except metastore-tuned entries"
volume.mfi_volume_features@mfi_raw,even,scale-carrying,,"FXPIG-Server M5, 6 symbols (BTCUSDT.r, EURUSD.r, GBPUSD.r, US500.r, USDJPY.r, XAUUSD.r), 20000 bars/symbol, 2026-09-04; generic binder params (period=20) except metastore-tuned entries"
volume.mfi_volume_features@mfi_volumeadj,even,scale-carrying,,"FXPIG-Server M5, 6 symbols (BTCUSDT.r, EURUSD.r, GBPUSD.r, US500.r, USDJPY.r, XAUUSD.r), 20000 bars/symbol, 2026-09-04; generic binder params (period=20) except metastore-tuned entries"
volume.mfi_volume_features@mfi_z,even,scale-free,,"FXPIG-Server M5, 6 symbols (BTCUSDT.r, EURUSD.r, GBPUSD.r, US500.r, USDJPY.r, XAUUSD.r), 20000 bars/symbol, 2026-09-04; generic binder params (period=20) except metastore-tuned entries"
volume.mfi_volume_features@mid,odd,scale-carrying,,"FXPIG-Server M5, 6 symbols (BTCUSDT.r, EURUSD.r, GBPUSD.r, US500.r, USDJPY.r, XAUUSD.r), 20000 bars/symbol, 2026-09-04; generic binder params (period=20) except metastore-tuned entries"
volume.mfi_volume_features@norm_cum_bsdi,odd,scale-free,,"FXPIG-Server M5, 6 symbols (BTCUSDT.r, EURUSD.r, GBPUSD.r, US500.r, USDJPY.r, XAUUSD.r), 20000 bars/symbol, 2026-09-04; generic binder params (period=20) except metastore-tuned entries"
volume.mfi_volume_features@norm_cum_dfp,odd,scale-free,,"FXPIG-Server M5, 6 symbols (BTCUSDT.r, EURUSD.r, GBPUSD.r, US500.r, USDJPY.r, XAUUSD.r), 20000 bars/symbol, 2026-09-04; generic binder params (period=20) except metastore-tuned entries"
volume.mfi_volume_features@volume_ratio,even,scale-free,,"FXPIG-Server M5, 6 symbols (BTCUSDT.r, EURUSD.r, GBPUSD.r, US500.r, USDJPY.r, XAUUSD.r), 20000 bars/symbol, 2026-09-04; generic binder params (period=20) except metastore-tuned entries"
