feature,parity,scale_class,conjugate,measured_on
momentum.core_momentum_features@tsi,odd,scale-free,,"FXPIG-Server M5, 6 symbols (BTCUSDT.r, EURUSD.r, GBPUSD.r, US500.r, USDJPY.r, XAUUSD.r), 20000 bars/symbol, 2026-09-04; generic binder params (period=20) except metastore-tuned entries"
momentum.core_momentum_features@tsi_bearish_div,one-sided,unscored,momentum.core_momentum_features@tsi_bullish_div,"FXPIG-Server M5, 6 symbols (BTCUSDT.r, EURUSD.r, GBPUSD.r, US500.r, USDJPY.r, XAUUSD.r), 20000 bars/symbol, 2026-09-04; generic binder params (period=20) except metastore-tuned entries"
momentum.core_momentum_features@tsi_bullish_div,one-sided,unscored,momentum.core_momentum_features@tsi_bearish_div,"FXPIG-Server M5, 6 symbols (BTCUSDT.r, EURUSD.r, GBPUSD.r, US500.r, USDJPY.r, XAUUSD.r), 20000 bars/symbol, 2026-09-04; generic binder params (period=20) except metastore-tuned entries"
momentum.core_momentum_features@tsi_diff,odd,scale-free,,"FXPIG-Server M5, 6 symbols (BTCUSDT.r, EURUSD.r, GBPUSD.r, US500.r, USDJPY.r, XAUUSD.r), 20000 bars/symbol, 2026-09-04; generic binder params (period=20) except metastore-tuned entries"
momentum.core_momentum_features@tsi_signal,odd,scale-free,,"FXPIG-Server M5, 6 symbols (BTCUSDT.r, EURUSD.r, GBPUSD.r, US500.r, USDJPY.r, XAUUSD.r), 20000 bars/symbol, 2026-09-04; generic binder params (period=20) except metastore-tuned entries"
momentum.core_momentum_features@tsi_slope,odd,scale-free,,"FXPIG-Server M5, 6 symbols (BTCUSDT.r, EURUSD.r, GBPUSD.r, US500.r, USDJPY.r, XAUUSD.r), 20000 bars/symbol, 2026-09-04; generic binder params (period=20) except metastore-tuned entries"
momentum.core_momentum_features@vol_adj_mom_osc,odd,scale-free,,"FXPIG-Server M5, 6 symbols (BTCUSDT.r, EURUSD.r, GBPUSD.r, US500.r, USDJPY.r, XAUUSD.r), 20000 bars/symbol, 2026-09-04; generic binder params (period=20) except metastore-tuned entries"
momentum.core_momentum_features@williams_r,odd,scale-free,,"FXPIG-Server M5, 6 symbols (BTCUSDT.r, EURUSD.r, GBPUSD.r, US500.r, USDJPY.r, XAUUSD.r), 20000 bars/symbol, 2026-09-04; generic binder params (period=20) except metastore-tuned entries"
momentum.slope_divergence_tsi@0,odd,scale-free,,"FXPIG-Server M5, 6 symbols (BTCUSDT.r, EURUSD.r, GBPUSD.r, US500.r, USDJPY.r, XAUUSD.r), 20000 bars/symbol, 2026-09-04; generic binder params (period=20) except metastore-tuned entries"
momentum.slope_divergence_tsi@1,odd,scale-free,,"FXPIG-Server M5, 6 symbols (BTCUSDT.r, EURUSD.r, GBPUSD.r, US500.r, USDJPY.r, XAUUSD.r), 20000 bars/symbol, 2026-09-04; generic binder params (period=20) except metastore-tuned entries"
momentum.slope_divergence_tsi@2,odd,scale-free,,"FXPIG-Server M5, 6 symbols (BTCUSDT.r, EURUSD.r, GBPUSD.r, US500.r, USDJPY.r, XAUUSD.r), 20000 bars/symbol, 2026-09-04; generic binder params (period=20) except metastore-tuned entries"
momentum.slope_divergence_tsi@3,odd,scale-free,,"FXPIG-Server M5, 6 symbols (BTCUSDT.r, EURUSD.r, GBPUSD.r, US500.r, USDJPY.r, XAUUSD.r), 20000 bars/symbol, 2026-09-04; generic binder params (period=20) except metastore-tuned entries"
momentum.slope_divergence_tsi@4,one-sided,unscored,momentum.core_momentum_features@tsi_bearish_div,"FXPIG-Server M5, 6 symbols (BTCUSDT.r, EURUSD.r, GBPUSD.r, US500.r, USDJPY.r, XAUUSD.r), 20000 bars/symbol, 2026-09-04; generic binder params (period=20) except metastore-tuned entries"
momentum.slope_divergence_tsi@5,one-sided,unscored,momentum.core_momentum_features@tsi_bullish_div,"FXPIG-Server M5, 6 symbols (BTCUSDT.r, EURUSD.r, GBPUSD.r, US500.r, USDJPY.r, XAUUSD.r), 20000 bars/symbol, 2026-09-04; generic binder params (period=20) except metastore-tuned entries"
trend.bollinger_band@0,odd,scale-carrying,,"FXPIG-Server M5, 6 symbols (BTCUSDT.r, EURUSD.r, GBPUSD.r, US500.r, USDJPY.r, XAUUSD.r), 20000 bars/symbol, 2026-09-04; generic binder params (period=20) except metastore-tuned entries"
trend.bollinger_band@1,odd,scale-carrying,,"FXPIG-Server M5, 6 symbols (BTCUSDT.r, EURUSD.r, GBPUSD.r, US500.r, USDJPY.r, XAUUSD.r), 20000 bars/symbol, 2026-09-04; generic binder params (period=20) except metastore-tuned entries"
trend.bollinger_band@2,odd,scale-carrying,,"FXPIG-Server M5, 6 symbols (BTCUSDT.r, EURUSD.r, GBPUSD.r, US500.r, USDJPY.r, XAUUSD.r), 20000 bars/symbol, 2026-09-04; generic binder params (period=20) except metastore-tuned entries"
trend.bollinger_band@3,odd,scale-free,,"FXPIG-Server M5, 6 symbols (BTCUSDT.r, EURUSD.r, GBPUSD.r, US500.r, USDJPY.r, XAUUSD.r), 20000 bars/symbol, 2026-09-04; generic binder params (period=20) except metastore-tuned entries"
trend.bollinger_band@4,even,scale-carrying,,"FXPIG-Server M5, 6 symbols (BTCUSDT.r, EURUSD.r, GBPUSD.r, US500.r, USDJPY.r, XAUUSD.r), 20000 bars/symbol, 2026-09-04; generic binder params (period=20) except metastore-tuned entries"
